,AnalysisName,CatalogTypeCode,AnalysisID,YearID,EventID,ModelCode,Peril,ReTreatySID,ProgramID,ppnp,CompanyName,100shareloss,grloss,ntloss,finalnetloss100,finalnetgrloss,finalnetnetloss,TreatyID,cnty_cd
251953,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6311,170712,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
251954,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6311,170712,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,20000000.0,3200000.0,2800000.0,19250000.0,3080000.0,2695000.0,371333_2,
251995,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6312,170736,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,12317431.6915992,1970789.07065588,1724440.4368239,11024101.3639813,1763856.21823701,1543374.19095739,371333_1,
252104,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6315,170831,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13761453.1449175,2201832.50318681,1926603.44028845,371333_1,
252105,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6315,170831,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,172233.164727796,27557.3063564473,24112.6430618914,165774.421050504,26523.9073680806,23208.4189470705,371333_2,
252198,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6317,170874,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
252199,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6317,170874,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2558774.93290351,409403.989264562,358228.490606491,2462820.87291963,394051.339667141,344794.922208748,371333_2,
252358,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6319,170926,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,7149888.36046711,1143982.13767474,1000984.3704654,6399150.08261807,1023864.01321889,895881.011566529,371333_1,
252395,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6320,170958,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,8050549.65673274,1288087.94507724,1127076.95194258,7205241.9427758,1152838.71084413,1008733.87198861,371333_1,
252452,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6324,171061,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,8253817.96483095,1320610.87437295,1155534.51507633,7387167.0785237,1181946.73256379,1034203.39099332,371333_1,
252506,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6326,171113,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,516218.316151074,82594.9305841719,72270.5642611504,462015.392955211,73922.4628728338,64682.1550137296,371333_1,
252528,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6327,171130,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,5589437.21293655,894309.954069847,782521.209811117,5002546.30557821,800407.408892513,700356.482780949,371333_1,
252580,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6327,171135,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,11755176.6275754,1880828.26041207,1645724.72786056,10767067.5349338,1722730.8055894,1507389.45489073,371333_1,
252663,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6327,171155,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,812649.231458173,130023.877033308,113770.892404144,812649.231458173,130023.877033308,113770.892404144,371333_1,
252698,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6329,171193,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
252699,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6329,171193,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,11524941.1696464,1843990.58714342,1613491.76375049,11092755.8757846,1774840.94012554,1552985.82260985,371333_2,
252733,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6330,171233,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,6329205.67158492,1012672.90745359,886088.79402189,5664639.07606851,906342.252170961,793049.470649591,371333_1,
252888,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6336,171386,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,11632515.305438,1861202.44887007,1628552.14276131,10411101.198367,1665776.19173872,1457554.16777138,371333_1,
252945,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6339,171458,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
252946,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6339,171458,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,20000000.0,3200000.0,2800000.0,19250000.0,3080000.0,2695000.0,371333_2,
